105 96 116 | 103 95
117 100 138 | 98 93
117 100 88 | 106 100
117 100 549 | 117 100
117 100 640 | 109 99
106 100 610 | 106 100
117 100 580 | 117 100
117 100 28 | 109 99
117 100 404 | 85 95
109 99 393 | 91 91
109 99 554 | 97 95
109 99 148 | 91 91
117 100 122 | 92 95
109 99 227 | 105 96
106 100 351 | 91 91
117 100 103 | 117 100
105 96 539 | 80 91
106 100 65 | 105 96
117 100 339 | 90 92
103 95 294 | 78 98
117 100 12 | 91 91
109 99 134 | 85 100
117 100 642 | 117 100
109 99 26 | 92 95
109 99 420 | 105 96
117 100 88 | 89 98
117 100 386 | 77 81
109 99 60 | 91 91
105 96 124 | 91 91
117 100 609 | 103 95
106 100 227 | 91 91
117 100 184 | 106 100
117 100 369 | 117 100
109 99 412 | 90 92
105 96 446 | 105 96
105 96 68 | 85 100
117 100 567 | 109 99
117 100 410 | 117 100
109 99 327 | 106 100
117 100 216 | 85 95
117 100 597 | 117 100
117 100 102 | 106 100
106 100 505 | 106 100
103 95 335 | 89 98
106 100 479 | 92 95
109 99 605 | 109 99
109 99 80 | 90 92
117 100 225 | 98 93
109 99 200 | 105 96
109 99 276 | 77 86
117 100 440 | 77 81
106 100 578 | 92 95
117 100 215 | 85 95
117 100 419 | 99 97
109 99 330 | 87 93
117 100 360 | 105 96
109 99 459 | 77 81
117 100 584 | 84 88
117 100 489 | 87 93
105 96 316 | 90 92
117 100 531 | 106 100
117 100 188 | 91 91
109 99 220 | 89 98
117 100 497 | 103 95
109 99 298 | 98 93
117 100 462 | 87 93
117 100 677 | 109 99
117 100 514 | 109 99
105 96 651 | 97 95
106 100 215 | 90 92
117 100 533 | 97 95
117 100 678 | 117 100
117 100 237 | 91 91
117 100 524 | 117 100
91 91 456 | 84 88
109 99 174 | 105 96
117 100 184 | 89 98
109 99 656 | 109 99
109 99 452 | 83 90
103 95 300 | 103 95
117 100 544 | 109 99
117 100 606 | 117 100
106 100 201 | 98 93
109 99 320 | 83 90
105 96 606 | 91 91
117 100 236 | 117 100
117 100 44 | 97 95
117 100 102 | 97 95
106 100 498 | 98 93
91 91 544 | 78 98
109 99 455 | 99 97
98 93 350 | 85 95
117 100 402 | 77 81
106 100 329 | 91 91
109 99 393 | 97 95
117 100 300 | 83 90
109 99 562 | 84 88
117 100 654 | 117 100
105 96 146 | 99 97
117 100 620 | 117 100
106 100 233 | 78 98
117 100 150 | 85 100
106 100 562 | 91 91
109 99 24 | 98 93
117 100 102 | 79 85
105 96 86 | 97 95
99 97 25 | 77 81
117 100 307 | 85 95
117 100 459 | 99 97
117 100 504 | 99 97
117 100 36 | 87 93
117 100 49 | 109 99
117 100 186 | 105 96
117 100 715 | 117 100
106 100 486 | 98 93
117 100 620 | 109 99
109 99 472 | 76 69
99 97 51 | 91 91
105 96 372 | 103 95
109 99 211 | 97 95
117 100 603 | 103 95
109 99 273 | 98 93
117 100 657 | 109 99
106 100 498 | 105 96
105 96 610 | 97 95
