117 100 388 | 77 81
117 100 548 | 0 216
109 99 448 | 0 319
90 92 586 | 0 167
109 99 390 | 0 320
106 100 817 | 79 85
109 99 362 | 0 349
106 100 125 | 0 242
117 100 940 | 0 306
117 100 390 | 0 342
106 100 107 | 0 342
117 100 791 | 0 254
117 100 370 | 0 251
117 100 50 | 98 93
117 100 324 | 0 143
109 99 180 | 0 241
117 100 224 | 0 121
117 100 104 | 77 81
117 100 841 | 0 380
117 100 78 | 0 293
109 99 832 | 0 245
117 100 82 | 0 251
109 99 546 | 0 247
109 99 746 | 0 298
117 100 607 | 0 287
109 99 88 | 0 290
109 99 128 | 0 245
117 100 791 | 0 191
117 100 522 | 0 190
109 99 726 | 0 217
99 97 145 | 0 298
117 100 120 | 0 302
117 100 595 | 0 342
109 99 374 | 0 216
117 100 958 | 0 301
109 99 264 | 0 319
117 100 288 | 0 249
117 100 309 | 79 74
117 100 18 | 0 207
117 100 521 | 0 269
109 99 346 | 0 331
117 100 594 | 0 328
109 99 326 | 0 171
106 100 3 | 0 116
117 100 646 | 84 88
106 100 743 | 0 418
106 100 446 | 0 294
98 93 124 | 0 198
117 100 156 | 0 146
109 99 70 | 0 223
117 100 726 | 0 278
106 100 954 | 0 228
106 100 131 | 0 288
117 100 222 | 73 88
117 100 886 | 0 427
109 99 128 | 85 95
117 100 634 | 91 91
117 100 194 | 0 267
109 99 64 | 0 297
117 100 78 | 0 145
117 100 926 | 51 64
117 100 446 | 106 100
106 100 737 | 0 121
117 100 836 | 78 98
109 99 942 | 0 268
105 96 722 | 0 204
117 100 844 | 0 359
117 100 54 | 0 219
117 100 961 | 0 233
109 99 833 | 66 67
106 100 928 | 0 309
117 100 475 | 0 201
117 100 965 | 0 185
117 100 150 | 0 425
99 97 345 | 0 109
117 100 332 | 0 268
117 100 442 | 50 47
117 100 126 | 0 344
117 100 140 | 0 375
117 100 530 | 73 88
105 96 870 | 0 425
106 100 12 | 0 284
117 100 650 | 0 319
117 100 4 | 0 193
117 100 508 | 0 345
109 99 742 | 0 190
117 100 340 | 0 299
105 96 446 | 0 283
109 99 840 | 0 259
117 100 68 | 0 216
117 100 263 | 0 142
109 99 698 | 99 97
117 100 14 | 0 183
117 100 526 | 0 232
117 100 528 | 0 210
109 99 232 | 0 251
117 100 2 | 0 336
117 100 891 | 0 294
117 100 795 | 0 276
117 100 291 | 0 239
117 100 870 | 0 145
109 99 528 | 0 166
117 100 258 | 0 231
109 99 150 | 0 231
117 100 306 | 0 376
105 96 818 | 0 146
117 100 268 | 0 217
106 100 17 | 0 266
109 99 312 | 0 243
109 99 326 | 0 240
117 100 28 | 0 148
117 100 214 | 0 344
109 99 188 | 0 269
103 95 234 | 0 292
117 100 108 | 0 270
117 100 466 | 91 91
117 100 8 | 0 278
109 99 54 | 0 210
117 100 346 | 91 91
117 100 460 | 0 199
109 99 600 | 0 286
109 99 734 | 0 222
117 100 724 | 0 171
109 99 587 | 73 70
