117 100 2452 | 0 371
109 99 2711 | 0 181
117 100 2084 | 103 95
117 100 754 | 0 295
117 100 410 | 79 74
117 100 2341 | 85 100
117 100 134 | 0 198
117 100 1202 | 0 154
117 100 606 | 91 91
117 100 204 | 89 98
117 100 1275 | 0 267
117 100 688 | 89 98
117 100 2348 | 0 212
117 100 988 | 0 254
117 100 1282 | 58 66
117 100 668 | 89 98
117 100 536 | 0 228
117 100 260 | 0 281
117 100 2146 | 0 297
117 100 2632 | 0 290
117 100 1198 | 97 95
117 100 476 | 79 74
117 100 99 | 0 210
117 100 674 | 91 91
117 100 2809 | 0 202
117 100 358 | 0 323
117 100 2917 | 117 100
117 100 520 | 87 93
117 100 354 | 0 328
117 100 94 | 85 95
117 100 322 | 98 93
117 100 1566 | 0 128
117 100 2546 | 71 77
106 100 1645 | 0 401
117 100 244 | 0 262
117 100 2975 | 92 95
117 100 352 | 80 91
117 100 380 | 0 268
117 100 36 | 0 389
117 100 42 | 0 300
117 100 620 | 98 93
106 100 451 | 63 76
109 99 1218 | 0 222
117 100 74 | 0 268
109 99 1038 | 0 208
117 100 126 | 0 352
117 100 665 | 77 81
117 100 374 | 79 85
117 100 1195 | 0 415
117 100 124 | 0 440
117 100 572 | 0 185
117 100 912 | 72 71
117 100 716 | 80 91
117 100 348 | 0 251
117 100 486 | 78 98
117 100 2500 | 98 93
117 100 936 | 0 306
117 100 418 | 91 91
109 99 2549 | 84 88
117 100 46 | 0 192
117 100 589 | 0 271
117 100 885 | 0 307
117 100 1100 | 0 188
117 100 212 | 87 93
109 99 1930 | 63 76
117 100 2589 | 109 99
109 99 482 | 80 91
117 100 1962 | 0 406
117 100 858 | 0 283
117 100 821 | 0 240
117 100 880 | 109 99
117 100 2967 | 0 195
117 100 662 | 76 69
117 100 990 | 97 95
117 100 1366 | 71 77
117 100 2578 | 0 172
117 100 2308 | 0 190
117 100 1495 | 0 264
117 100 592 | 0 274
117 100 1523 | 90 92
117 100 984 | 0 306
117 100 434 | 0 254
117 100 1282 | 0 250
117 100 1202 | 0 427
117 100 130 | 103 95
117 100 672 | 65 69
117 100 404 | 0 183
117 100 714 | 0 228
117 100 358 | 0 259
117 100 2171 | 0 199
117 100 175 | 0 359
117 100 884 | 0 380
117 100 504 | 0 254
117 100 2532 | 0 392
117 100 198 | 91 91
117 100 628 | 91 91
117 100 2395 | 0 283
117 100 1086 | 0 330
117 100 48 | 103 95
117 100 1472 | 0 274
117 100 1785 | 0 331
109 99 734 | 0 154
117 100 686 | 0 217
117 100 2411 | 0 188
117 100 1320 | 0 190
117 100 1978 | 0 152
117 100 84 | 0 342
117 100 1039 | 0 316
117 100 2693 | 0 288
109 99 2143 | 97 95
117 100 94 | 0 206
117 100 1620 | 76 69
117 100 2810 | 0 254
117 100 30 | 0 208
117 100 1182 | 99 97
109 99 2010 | 0 273
117 100 1158 | 83 90
117 100 1933 | 0 333
117 100 1498 | 0 285
117 100 796 | 0 385
117 100 370 | 0 376
117 100 326 | 117 100
117 100 688 | 0 407
117 100 713 | 0 228
117 100 126 | 85 100
117 100 486 | 89 98
117 100 210 | 85 100
117 100 516 | 0 400
117 100 2595 | 0 184
109 99 142 | 0 376
117 100 400 | 0 183
117 100 1438 | 91 91
117 100 589 | 0 202
117 100 62 | 91 91
117 100 1039 | 0 268
117 100 2471 | 109 99
117 100 354 | 0 221
117 100 1221 | 0 323
117 100 2714 | 91 91
117 100 578 | 0 269
117 100 804 | 0 395
117 100 538 | 90 92
117 100 2317 | 0 267
117 100 592 | 0 278
117 100 736 | 0 287
117 100 947 | 0 283
117 100 20 | 0 201
117 100 166 | 0 259
117 100 2902 | 85 100
117 100 393 | 87 93
117 100 2208 | 99 97
117 100 388 | 0 375
117 100 1291 | 0 226
117 100 1658 | 0 321
117 100 964 | 0 231
117 100 2323 | 109 99
117 100 1365 | 77 86
117 100 598 | 85 95
117 100 1409 | 0 111
117 100 1665 | 87 93
117 100 1074 | 0 161
117 100 492 | 0 259
117 100 431 | 77 81
117 100 1619 | 97 95
117 100 424 | 0 160
117 100 472 | 0 238
117 100 2246 | 0 287
117 100 590 | 77 81
117 100 2854 | 0 280
117 100 578 | 0 304
117 100 864 | 0 195
117 100 813 | 0 213
109 99 1907 | 0 343
117 100 150 | 0 286
117 100 54 | 98 93
117 100 1530 | 0 297
117 100 364 | 0 308
117 100 405 | 0 341
109 99 684 | 0 240
117 100 1412 | 0 166
117 100 1354 | 0 219
117 100 414 | 0 256
117 100 1254 | 0 230
109 99 2366 | 0 226
117 100 514 | 0 327
117 100 34 | 0 199
117 100 312 | 0 207
117 100 2260 | 73 70
117 100 356 | 0 309
109 99 2273 | 0 296
117 100 1826 | 76 69
117 100 1344 | 0 209
109 99 38 | 0 299
117 100 112 | 84 88
117 100 746 | 0 385
117 100 1689 | 0 294
117 100 52 | 0 254
117 100 164 | 89 98
117 100 736 | 0 265
117 100 216 | 0 282
117 100 438 | 0 241
117 100 734 | 0 334
117 100 1259 | 103 95
109 99 354 | 0 376
117 100 2227 | 0 314
117 100 515 | 0 238
117 100 476 | 0 110
117 100 819 | 0 191
117 100 2694 | 0 188
117 100 1044 | 92 95
117 100 1615 | 0 264
117 100 1140 | 97 95
117 100 960 | 85 95
117 100 347 | 0 277
117 100 689 | 0 259
117 100 456 | 77 86
117 100 252 | 0 350
117 100 1306 | 0 216
109 99 2470 | 0 323
117 100 1156 | 0 186
117 100 683 | 0 223
117 100 1694 | 0 401
117 100 1683 | 91 91
117 100 876 | 0 248
117 100 2902 | 0 178
117 100 604 | 89 98
117 100 1164 | 0 159
117 100 714 | 0 338
117 100 1103 | 90 92
117 100 418 | 83 90
109 99 234 | 0 286
117 100 979 | 77 86
117 100 279 | 109 99
117 100 463 | 91 91
109 99 52 | 0 143
117 100 1121 | 0 217
117 100 1915 | 0 351
117 100 996 | 109 99
117 100 1484 | 109 99
117 100 110 | 0 279
117 100 1020 | 0 209
117 100 2678 | 0 240
117 100 2355 | 0 269
117 100 1411 | 0 275
117 100 594 | 0 246
117 100 506 | 0 335
117 100 900 | 91 91
117 100 972 | 0 278
117 100 1472 | 0 195
117 100 802 | 0 290
117 100 382 | 0 228
117 100 130 | 0 261
117 100 1393 | 97 95
117 100 90 | 85 100
117 100 1795 | 45 55
117 100 1058 | 103 95
117 100 2134 | 0 243
117 100 316 | 87 93
117 100 975 | 80 91
117 100 1380 | 0 371
117 100 242 | 0 116
117 100 1176 | 0 352
117 100 2164 | 0 278
117 100 862 | 0 314
117 100 1301 | 71 77
117 100 250 | 0 237
117 100 88 | 0 274
117 100 1178 | 0 308
117 100 1320 | 0 243
117 100 412 | 0 418
117 100 564 | 0 264
117 100 614 | 117 100
109 99 2449 | 85 74
117 100 1237 | 0 215
117 100 60 | 73 88
109 99 2587 | 0 273
117 100 234 | 0 310
117 100 601 | 0 233
117 100 1020 | 0 261
117 100 678 | 0 242
117 100 207 | 0 148
117 100 1404 | 0 357
117 100 112 | 0 267
117 100 132 | 83 90
117 100 70 | 0 363
117 100 1825 | 0 250
117 100 1080 | 0 166
117 100 146 | 79 85
117 100 316 | 91 91
117 100 1505 | 0 271
117 100 420 | 0 293
117 100 1446 | 0 363
117 100 1064 | 91 91
117 100 1559 | 0 368
117 100 168 | 0 243
117 100 500 | 0 375
117 100 48 | 0 272
117 100 2597 | 85 74
117 100 18 | 0 375
117 100 54 | 97 95
117 100 1232 | 0 159
117 100 2870 | 109 99
117 100 442 | 117 100
117 100 1684 | 103 95
117 100 114 | 0 230
117 100 370 | 0 129
117 100 1156 | 0 364
117 100 992 | 0 145
117 100 280 | 0 366
117 100 889 | 0 383
117 100 1275 | 78 98
117 100 414 | 105 96
117 100 808 | 83 90
117 100 1922 | 0 180
117 100 224 | 0 297
117 100 2146 | 0 338
117 100 216 | 0 352
117 100 154 | 0 261
117 100 225 | 0 260
117 100 200 | 91 91
106 100 2845 | 0 138
117 100 146 | 105 96
117 100 978 | 0 275
117 100 1112 | 0 416
117 100 560 | 0 186
117 100 1304 | 0 399
117 100 486 | 85 100
117 100 1874 | 0 309
117 100 992 | 77 86
117 100 606 | 0 274
117 100 1881 | 0 492
117 100 196 | 0 304
117 100 330 | 92 95
117 100 558 | 92 95
109 99 332 | 85 95
117 100 302 | 0 259
117 100 258 | 0 306
117 100 227 | 0 240
117 100 1329 | 78 98
117 100 590 | 0 419
117 100 1210 | 0 209
117 100 2260 | 0 376
109 99 476 | 105 96
117 100 2929 | 0 346
117 100 440 | 0 177
117 100 2216 | 91 91
117 100 1530 | 0 159
117 100 186 | 0 305
117 100 959 | 0 224
117 100 610 | 0 243
109 99 611 | 0 249
117 100 468 | 0 247
117 100 1260 | 85 95
117 100 1156 | 0 304
117 100 700 | 0 301
109 99 2846 | 0 402
117 100 396 | 85 100
117 100 1894 | 0 445
117 100 2755 | 85 95
117 100 2378 | 90 92
117 100 874 | 0 169
117 100 288 | 0 368
117 100 889 | 0 224
117 100 1133 | 0 183
117 100 558 | 0 283
117 100 2596 | 0 204
117 100 1479 | 65 69
109 99 260 | 0 207
117 100 2645 | 97 95
117 100 512 | 0 221
117 100 52 | 0 349
117 100 1110 | 85 95
117 100 320 | 0 423
117 100 1890 | 85 95
117 100 1078 | 103 95
117 100 2397 | 65 69
117 100 506 | 0 249
117 100 690 | 0 214
117 100 1790 | 0 220
117 100 164 | 0 347
117 100 242 | 0 199
109 99 991 | 89 98
117 100 644 | 117 100
117 100 354 | 0 206
117 100 30 | 0 132
117 100 768 | 84 88
106 100 757 | 0 294
117 100 790 | 0 146
117 100 124 | 105 96
117 100 258 | 89 98
117 100 2012 | 0 421
117 100 620 | 0 190
117 100 2044 | 105 96
117 100 78 | 0 231
117 100 690 | 91 91
117 100 238 | 73 88
117 100 582 | 83 90
117 100 2414 | 109 99
117 100 718 | 0 228
117 100 136 | 0 440
117 100 1400 | 90 92
117 100 358 | 99 97
117 100 2004 | 0 354
117 100 220 | 0 335
117 100 1494 | 0 172
117 100 26 | 0 268
117 100 364 | 0 316
109 99 1106 | 0 186
109 99 1852 | 0 303
117 100 449 | 0 285
117 100 268 | 77 86
117 100 1969 | 83 90
117 100 152 | 0 172
117 100 2005 | 83 90
117 100 1020 | 51 64
109 99 1072 | 0 275
117 100 2989 | 91 78
117 100 1000 | 0 358
117 100 844 | 0 287
117 100 276 | 0 237
117 100 154 | 0 152
117 100 58 | 83 90
117 100 1982 | 90 92
117 100 398 | 0 316
117 100 1156 | 0 210
117 100 2182 | 0 188
117 100 260 | 0 269
117 100 694 | 65 69
117 100 1823 | 0 219
117 100 2851 | 0 358
117 100 1753 | 0 471
117 100 14 | 90 92
117 100 1954 | 0 264
117 100 820 | 0 162
117 100 1681 | 91 78
117 100 2300 | 99 97
109 99 2150 | 0 316
117 100 66 | 89 98
117 100 428 | 105 96
117 100 650 | 85 100
117 100 8 | 0 303
117 100 732 | 0 323
117 100 446 | 0 276
117 100 546 | 89 98
117 100 328 | 90 92
117 100 1669 | 0 238
117 100 678 | 0 307
109 99 1076 | 73 88
117 100 156 | 0 379
117 100 1429 | 0 359
117 100 896 | 0 327
117 100 844 | 0 290
117 100 116 | 0 238
117 100 2197 | 0 306
117 100 2923 | 0 300
117 100 157 | 0 280
117 100 2217 | 0 199
117 100 137 | 0 204
117 100 272 | 0 164
117 100 1806 | 91 91
117 100 30 | 0 159
117 100 864 | 0 297
117 100 70 | 0 168
117 100 312 | 117 100
117 100 382 | 117 100
117 100 480 | 90 92
117 100 550 | 0 277
117 100 548 | 77 81
117 100 50 | 0 282
117 100 122 | 0 321
117 100 1739 | 0 304
117 100 1450 | 79 85
117 100 801 | 109 99
117 100 2784 | 0 422
117 100 145 | 0 294
117 100 2645 | 0 278
117 100 262 | 0 172
117 100 754 | 97 95
117 100 1848 | 77 81
117 100 20 | 85 100
117 100 1206 | 103 95
117 100 1496 | 92 95
117 100 516 | 91 78
117 100 340 | 0 145
117 100 1307 | 0 300
117 100 144 | 0 334
117 100 514 | 78 98
117 100 1126 | 90 92
117 100 1992 | 0 228
117 100 761 | 0 334
117 100 1639 | 0 257
117 100 1760 | 103 95
117 100 34 | 0 289
117 100 375 | 0 194
117 100 8 | 0 380
117 100 1670 | 0 353
117 100 188 | 0 190
117 100 108 | 0 259
117 100 570 | 0 204
117 100 596 | 0 311
117 100 36 | 78 98
109 99 626 | 76 69
117 100 1998 | 85 74
117 100 872 | 0 307
117 100 284 | 0 193
117 100 2890 | 0 140
117 100 1273 | 0 292
117 100 1041 | 0 371
117 100 784 | 77 86
109 99 286 | 0 440
117 100 358 | 0 229
117 100 470 | 0 277
117 100 2185 | 0 319
117 100 238 | 84 88
117 100 452 | 73 70
117 100 64 | 0 206
109 99 32 | 0 419
117 100 1076 | 0 426
117 100 1462 | 76 69
106 100 971 | 0 368
117 100 2937 | 105 96
117 100 1118 | 97 95
117 100 314 | 0 196
117 100 78 | 103 95
117 100 760 | 109 99
117 100 536 | 78 98
117 100 132 | 0 209
117 100 869 | 76 69
117 100 926 | 0 404
117 100 2442 | 79 85
117 100 547 | 0 316
117 100 888 | 0 330
117 100 1168 | 0 257
117 100 2009 | 58 66
117 100 1278 | 84 88
117 100 2514 | 0 236
109 99 812 | 73 88
117 100 796 | 99 97
117 100 1096 | 0 291
117 100 182 | 0 176
117 100 32 | 109 99
117 100 1657 | 109 99
117 100 2060 | 0 209
117 100 664 | 77 81
117 100 2761 | 91 91
117 100 906 | 0 254
117 100 2767 | 0 267
117 100 518 | 0 363
117 100 1300 | 109 99
117 100 1098 | 0 325
117 100 587 | 91 91
117 100 2031 | 76 69
117 100 98 | 0 399
117 100 660 | 91 91
117 100 1050 | 0 181
117 100 1994 | 90 92
117 100 1508 | 0 297
117 100 572 | 0 342
117 100 282 | 0 243
117 100 338 | 92 95
117 100 10 | 0 309
117 100 444 | 99 97
117 100 646 | 0 185
109 99 324 | 78 98
117 100 38 | 80 91
117 100 260 | 89 98
117 100 606 | 0 217
117 100 494 | 0 195
117 100 2188 | 0 318
117 100 640 | 77 81
117 100 90 | 0 247
117 100 802 | 0 373
109 99 208 | 0 306
117 100 64 | 66 67
117 100 320 | 0 290
117 100 1330 | 117 100
117 100 987 | 0 237
117 100 676 | 78 98
117 100 1090 | 98 93
117 100 390 | 0 113
117 100 653 | 0 278
117 100 318 | 109 99
117 100 466 | 0 282
109 99 1466 | 0 198
117 100 1611 | 0 237
117 100 622 | 0 200
117 100 112 | 0 329
117 100 836 | 0 229
109 99 900 | 0 186
117 100 1631 | 0 158
117 100 12 | 0 423
117 100 574 | 0 369
117 100 212 | 0 206
117 100 726 | 0 195
117 100 908 | 0 370
117 100 36 | 0 260
117 100 1725 | 0 240
117 100 552 | 0 264
117 100 590 | 83 90
117 100 620 | 0 316
117 100 2104 | 0 316
109 99 27 | 92 95
106 100 1905 | 0 261
117 100 398 | 0 245
106 100 39 | 0 323
117 100 868 | 0 359
117 100 714 | 92 95
117 100 448 | 0 400
117 100 2749 | 0 269
117 100 166 | 85 95
117 100 714 | 0 273
117 100 1952 | 85 74
117 100 574 | 0 449
117 100 1483 | 77 86
117 100 782 | 83 90
117 100 304 | 85 74
117 100 28 | 0 375
117 100 346 | 0 167
117 100 70 | 0 390
117 100 82 | 0 346
117 100 481 | 0 197
117 100 824 | 0 256
109 99 1338 | 103 95
117 100 626 | 0 342
117 100 1978 | 0 252
117 100 802 | 0 256
117 100 147 | 0 183
117 100 2118 | 0 397
117 100 438 | 87 93
117 100 224 | 0 163
117 100 1086 | 0 114
117 100 1455 | 91 91
117 100 995 | 0 261
117 100 110 | 63 76
117 100 30 | 0 372
117 100 996 | 0 164
117 100 578 | 85 95
117 100 1198 | 0 219
117 100 732 | 0 213
109 99 514 | 79 85
117 100 1519 | 0 173
117 100 362 | 0 286
117 100 1804 | 80 91
117 100 1298 | 0 111
117 100 1330 | 92 95
117 100 2052 | 77 81
117 100 2895 | 0 209
117 100 134 | 0 283
109 99 402 | 105 96
117 100 408 | 0 392
117 100 666 | 0 148
117 100 996 | 92 95
117 100 54 | 0 385
117 100 232 | 105 96
117 100 2604 | 0 404
117 100 2228 | 83 90
117 100 1363 | 83 90
117 100 1889 | 0 374
117 100 1368 | 0 260
117 100 114 | 92 95
117 100 1634 | 0 122
117 100 848 | 0 273
117 100 236 | 76 69
109 99 858 | 76 69
117 100 2800 | 0 216
117 100 126 | 0 287
117 100 2111 | 76 69
117 100 293 | 0 173
117 100 100 | 0 313
117 100 652 | 0 257
117 100 1267 | 0 362
117 100 312 | 0 164
117 100 794 | 0 251
117 100 228 | 91 91
117 100 324 | 0 242
117 100 2592 | 92 95
117 100 264 | 0 259
117 100 192 | 0 243
117 100 272 | 0 342
117 100 598 | 0 250
117 100 1514 | 0 261
117 100 810 | 0 257
117 100 1153 | 0 167
117 100 138 | 66 67
117 100 1018 | 0 140
117 100 862 | 83 90
117 100 1444 | 0 323
117 100 744 | 90 92
117 100 98 | 0 231
117 100 415 | 90 92
117 100 1530 | 0 354
117 100 176 | 83 90
117 100 318 | 0 219
117 100 538 | 0 283
106 100 2287 | 0 145
117 100 50 | 106 100
117 100 167 | 0 206
117 100 1014 | 91 91
117 100 168 | 0 173
117 100 90 | 0 341
117 100 990 | 117 100
117 100 340 | 0 187
117 100 1068 | 117 100
117 100 276 | 90 92
117 100 916 | 0 313
117 100 592 | 0 175
117 100 1895 | 0 264
117 100 872 | 0 404
117 100 983 | 0 257
117 100 1692 | 0 172
117 100 2440 | 92 95
117 100 252 | 0 262
117 100 72 | 0 280
117 100 280 | 83 90
117 100 1006 | 0 319
117 100 42 | 0 235
117 100 1510 | 0 216
117 100 1443 | 91 91
