117 100 332 | 105 96
117 100 544 | 0 271
117 100 342 | 0 323
117 100 298 | 0 290
117 100 43 | 91 91
117 100 383 | 0 297
117 100 1770 | 77 73
109 99 1150 | 0 258
117 100 1653 | 0 274
117 100 302 | 0 254
117 100 2211 | 59 65
117 100 2515 | 0 213
117 100 492 | 0 312
117 100 679 | 91 91
117 100 1448 | 91 91
117 100 914 | 0 269
117 100 999 | 90 92
117 100 590 | 0 291
117 100 1498 | 0 426
117 100 190 | 0 286
117 100 2139 | 90 92
117 100 288 | 87 93
117 100 274 | 80 91
117 100 914 | 80 91
117 100 232 | 84 88
117 100 62 | 0 172
117 100 140 | 0 216
117 100 36 | 78 98
117 100 2194 | 0 216
117 100 288 | 106 100
117 100 1466 | 85 95
117 100 1171 | 0 277
117 100 444 | 0 382
117 100 736 | 0 376
117 100 672 | 117 100
117 100 72 | 0 241
117 100 306 | 89 98
117 100 2318 | 80 91
117 100 854 | 0 257
117 100 560 | 117 100
117 100 1244 | 0 348
117 100 108 | 0 143
117 100 2012 | 45 55
117 100 620 | 0 117
117 100 8 | 0 394
117 100 1146 | 0 178
117 100 1420 | 97 95
117 100 212 | 0 371
117 100 652 | 0 160
117 100 1963 | 0 411
117 100 406 | 0 304
117 100 1703 | 89 98
117 100 1924 | 0 342
117 100 1412 | 98 93
117 100 2488 | 92 95
117 100 1770 | 0 337
117 100 2415 | 0 418
117 100 2087 | 0 254
117 100 634 | 0 279
117 100 2915 | 105 96
117 100 1653 | 0 205
117 100 584 | 0 354
117 100 402 | 84 88
117 100 468 | 0 470
117 100 236 | 0 244
117 100 154 | 0 306
117 100 6 | 0 203
117 100 194 | 84 88
117 100 1237 | 99 97
117 100 94 | 0 213
117 100 402 | 0 281
117 100 558 | 83 90
117 100 308 | 0 195
117 100 16 | 0 300
117 100 254 | 0 198
117 100 346 | 99 97
109 99 18 | 0 356
117 100 348 | 0 293
117 100 404 | 97 95
117 100 194 | 0 340
117 100 742 | 0 287
117 100 1333 | 0 202
117 100 722 | 0 198
117 100 1836 | 106 100
117 100 1248 | 0 221
117 100 1280 | 0 182
117 100 1585 | 89 98
117 100 1457 | 76 69
117 100 620 | 0 188
117 100 1464 | 84 88
117 100 492 | 0 297
117 100 1248 | 0 306
117 100 902 | 0 245
117 100 308 | 0 268
117 100 464 | 98 93
117 100 1514 | 76 69
117 100 316 | 0 343
117 100 832 | 91 91
117 100 722 | 0 230
109 99 498 | 0 157
109 99 1278 | 0 285
117 100 292 | 103 95
117 100 1074 | 0 234
117 100 2092 | 0 368
117 100 636 | 106 100
117 100 1087 | 0 181
117 100 1423 | 89 98
117 100 196 | 0 299
117 100 426 | 0 211
117 100 616 | 106 100
117 100 1256 | 0 220
117 100 2049 | 98 93
117 100 524 | 0 177
117 100 1775 | 0 319
117 100 176 | 0 386
117 100 4 | 0 288
117 100 32 | 76 69
117 100 580 | 0 368
117 100 64 | 0 213
117 100 1490 | 0 192
117 100 1945 | 91 78
117 100 1352 | 106 100
117 100 1526 | 0 223
117 100 216 | 0 302
117 100 376 | 0 304
117 100 2 | 63 76
117 100 358 | 0 236
117 100 340 | 0 299
117 100 980 | 0 366
117 100 782 | 106 100
117 100 1174 | 89 98
117 100 828 | 91 78
117 100 54 | 98 93
117 100 76 | 98 93
117 100 714 | 77 86
117 100 1096 | 0 276
117 100 968 | 0 117
117 100 1049 | 0 309
109 99 228 | 0 302
117 100 244 | 106 100
117 100 298 | 0 318
109 99 474 | 0 297
117 100 1934 | 77 86
117 100 300 | 0 315
117 100 1308 | 0 212
117 100 222 | 105 96
117 100 1558 | 0 206
117 100 208 | 0 449
117 100 138 | 0 295
117 100 294 | 0 191
117 100 620 | 0 257
117 100 98 | 91 91
117 100 274 | 0 230
117 100 1244 | 92 95
117 100 1693 | 77 81
117 100 126 | 0 164
117 100 1386 | 91 91
117 100 1552 | 0 297
117 100 6 | 0 364
117 100 758 | 106 100
117 100 602 | 0 195
117 100 618 | 0 297
117 100 392 | 0 313
117 100 584 | 0 271
117 100 508 | 0 261
117 100 320 | 0 290
117 100 957 | 0 240
117 100 1174 | 0 251
117 100 1184 | 0 371
117 100 2927 | 0 304
117 100 548 | 0 349
117 100 1044 | 0 117
117 100 60 | 0 376
117 100 887 | 0 133
117 100 18 | 0 330
117 100 277 | 0 277
117 100 1062 | 0 203
117 100 1294 | 0 347
117 100 799 | 98 93
117 100 542 | 98 93
117 100 18 | 91 91
117 100 350 | 84 88
117 100 560 | 117 100
117 100 46 | 109 99
117 100 987 | 0 356
117 100 343 | 0 228
117 100 2520 | 117 100
117 100 1114 | 0 193
117 100 2078 | 0 209
117 100 753 | 0 345
117 100 498 | 78 98
117 100 798 | 0 223
117 100 38 | 0 269
117 100 1734 | 105 96
109 99 646 | 0 349
117 100 424 | 0 399
117 100 270 | 0 166
117 100 985 | 58 66
117 100 128 | 77 81
117 100 1816 | 0 129
117 100 236 | 0 316
117 100 1221 | 0 321
117 100 608 | 0 286
109 99 26 | 83 90
117 100 999 | 0 188
117 100 1071 | 0 235
117 100 164 | 0 407
117 100 1499 | 80 91
117 100 1602 | 0 318
117 100 804 | 76 69
117 100 2266 | 0 269
117 100 518 | 0 122
117 100 40 | 0 173
117 100 650 | 0 229
117 100 174 | 51 64
117 100 224 | 71 77
117 100 312 | 0 194
117 100 664 | 0 330
117 100 42 | 0 269
117 100 2069 | 0 378
117 100 1172 | 0 354
117 100 486 | 0 321
117 100 1432 | 85 74
117 100 1382 | 77 81
117 100 642 | 0 245
117 100 8 | 0 159
117 100 901 | 0 401
117 100 1112 | 73 88
117 100 668 | 0 325
117 100 2346 | 0 217
117 100 1287 | 0 471
117 100 240 | 0 283
117 100 136 | 0 210
117 100 1510 | 106 100
117 100 248 | 97 95
117 100 478 | 105 96
117 100 852 | 0 308
117 100 468 | 0 379
117 100 801 | 73 70
117 100 1617 | 0 235
117 100 545 | 0 235
117 100 146 | 0 175
109 99 362 | 0 164
117 100 850 | 117 100
117 100 86 | 97 95
109 99 74 | 89 98
117 100 2 | 0 379
117 100 781 | 0 152
117 100 636 | 0 304
109 99 1106 | 0 297
117 100 114 | 0 168
117 100 544 | 0 276
117 100 768 | 0 297
117 100 1362 | 0 271
117 100 98 | 79 74
117 100 1242 | 80 91
117 100 728 | 0 337
117 100 2213 | 0 401
117 100 2832 | 97 95
117 100 2380 | 105 96
117 100 2395 | 0 187
117 100 1092 | 0 236
117 100 204 | 0 295
117 100 764 | 0 290
117 100 1316 | 77 81
117 100 540 | 89 98
117 100 180 | 105 96
117 100 96 | 0 256
117 100 400 | 106 100
117 100 554 | 90 92
117 100 256 | 0 198
117 100 1569 | 106 100
117 100 1805 | 0 228
117 100 1540 | 85 95
117 100 2746 | 73 88
109 99 804 | 0 449
117 100 710 | 0 140
117 100 14 | 0 352
117 100 702 | 0 280
117 100 960 | 0 261
117 100 412 | 0 282
117 100 1339 | 99 97
117 100 1668 | 98 93
117 100 738 | 0 257
117 100 1124 | 0 328
117 100 186 | 0 284
117 100 48 | 0 181
117 100 1120 | 63 76
117 100 507 | 0 320
117 100 683 | 0 272
109 99 508 | 89 98
117 100 2115 | 79 85
117 100 1668 | 0 358
117 100 1921 | 87 93
117 100 12 | 87 93
117 100 1207 | 85 100
117 100 2744 | 0 230
117 100 915 | 0 327
117 100 26 | 0 367
117 100 808 | 0 235
117 100 892 | 0 344
117 100 291 | 0 385
117 100 296 | 0 217
