117 100 329 | 85 100
117 100 133 | 117 100
105 96 534 | 85 95
117 100 65 | 89 98
106 100 289 | 98 93
109 99 633 | 105 96
117 100 370 | 89 98
117 100 159 | 117 100
92 95 312 | 85 100
117 100 312 | 99 97
109 99 114 | 89 98
117 100 404 | 97 95
109 99 90 | 109 99
106 100 156 | 91 91
106 100 587 | 98 93
109 99 459 | 103 95
117 100 227 | 98 93
109 99 47 | 105 96
117 100 468 | 106 100
117 100 209 | 90 92
92 95 100 | 90 92
117 100 549 | 106 100
117 100 446 | 91 91
117 100 686 | 117 100
105 96 569 | 90 92
117 100 469 | 87 93
105 96 597 | 97 95
117 100 154 | 91 91
117 100 67 | 91 91
109 99 634 | 109 99
117 100 34 | 85 100
106 100 24 | 85 100
117 100 429 | 80 91
117 100 164 | 105 96
117 100 308 | 117 100
109 99 338 | 85 95
117 100 244 | 87 93
117 100 285 | 91 91
117 100 194 | 106 100
117 100 382 | 77 86
109 99 522 | 109 99
117 100 24 | 78 98
117 100 477 | 89 98
117 100 632 | 105 96
117 100 433 | 97 95
105 96 190 | 89 98
117 100 355 | 91 91
117 100 1 | 103 95
117 100 570 | 117 100
98 93 602 | 97 95
117 100 307 | 85 100
109 99 632 | 92 95
117 100 682 | 117 100
117 100 599 | 109 99
117 100 489 | 105 96
105 96 554 | 78 98
106 100 239 | 103 95
117 100 369 | 79 85
109 99 656 | 109 99
117 100 551 | 87 93
117 100 562 | 89 98
117 100 457 | 89 98
117 100 379 | 78 98
105 96 284 | 98 93
109 99 271 | 77 86
117 100 60 | 78 98
117 100 271 | 106 100
106 100 136 | 89 98
117 100 613 | 117 100
103 95 504 | 98 93
117 100 634 | 117 100
109 99 478 | 105 96
117 100 621 | 117 100
117 100 561 | 91 91
106 100 452 | 84 88
99 97 129 | 99 97
117 100 9 | 97 95
117 100 438 | 109 99
105 96 327 | 85 100
109 99 463 | 90 92
109 99 395 | 106 100
117 100 50 | 83 90
117 100 143 | 80 91
117 100 562 | 105 96
109 99 82 | 91 91
117 100 165 | 77 81
117 100 76 | 85 95
92 95 388 | 90 92
117 100 32 | 98 93
117 100 383 | 85 95
105 96 492 | 97 95
117 100 45 | 99 97
117 100 576 | 85 100
117 100 135 | 77 81
117 100 548 | 98 93
117 100 557 | 117 100
117 100 592 | 106 100
117 100 471 | 98 93
117 100 340 | 84 88
105 96 642 | 105 96
109 99 67 | 85 95
117 100 102 | 105 96
117 100 579 | 103 95
117 100 595 | 117 100
117 100 269 | 109 99
103 95 219 | 91 91
117 100 153 | 80 91
106 100 342 | 92 95
117 100 566 | 103 95
109 99 449 | 105 96
105 96 59 | 91 91
117 100 365 | 109 99
117 100 408 | 99 97
106 100 346 | 98 93
92 95 740 | 92 95
117 100 300 | 76 69
117 100 6 | 109 99
105 96 586 | 90 92
117 100 390 | 91 91
109 99 325 | 90 92
109 99 159 | 80 91
98 93 295 | 91 91
109 99 151 | 89 98
117 100 529 | 87 93
117 100 611 | 117 100
