117 100 739 | 97 95
117 100 79 | 0 208
109 99 718 | 0 428
117 100 1101 | 0 375
117 100 1792 | 0 302
117 100 993 | 79 85
117 100 49 | 0 290
117 100 2489 | 0 292
117 100 20 | 0 309
117 100 1163 | 91 91
117 100 1532 | 0 154
109 99 1095 | 0 346
117 100 649 | 0 302
117 100 1688 | 0 160
117 100 225 | 0 271
117 100 1430 | 106 100
117 100 2741 | 87 93
117 100 1165 | 0 278
117 100 578 | 0 274
117 100 1196 | 0 369
117 100 1901 | 0 296
117 100 2556 | 0 399
117 100 1391 | 0 184
117 100 0 | 65 69
117 100 429 | 0 418
117 100 687 | 73 88
117 100 166 | 0 271
117 100 334 | 0 262
117 100 577 | 0 261
117 100 1037 | 91 91
117 100 865 | 91 91
117 100 663 | 105 96
117 100 1794 | 73 88
117 100 5 | 90 92
117 100 620 | 0 269
117 100 58 | 103 95
117 100 382 | 59 65
117 100 1907 | 0 240
117 100 41 | 0 366
117 100 1044 | 0 260
109 99 71 | 0 236
117 100 1410 | 91 91
117 100 1098 | 66 67
117 100 267 | 0 172
117 100 513 | 0 292
117 100 460 | 0 326
117 100 1268 | 65 69
117 100 60 | 0 306
117 100 1278 | 72 71
117 100 294 | 0 328
117 100 1215 | 84 88
117 100 2437 | 92 95
117 100 293 | 0 350
117 100 1435 | 0 341
117 100 1724 | 79 85
117 100 1160 | 0 343
117 100 766 | 97 95
117 100 324 | 0 323
117 100 917 | 109 99
117 100 514 | 83 90
117 100 1758 | 87 93
117 100 2342 | 0 243
117 100 1310 | 0 290
117 100 543 | 0 172
117 100 692 | 0 385
117 100 12 | 0 243
117 100 1364 | 0 317
117 100 351 | 77 86
117 100 627 | 0 198
109 99 59 | 0 283
117 100 2291 | 84 88
117 100 385 | 92 95
117 100 476 | 0 203
117 100 2084 | 83 90
117 100 2366 | 77 86
117 100 2112 | 103 95
109 99 568 | 0 242
117 100 920 | 0 299
117 100 1286 | 0 278
117 100 586 | 0 319
117 100 293 | 109 99
117 100 1382 | 78 98
117 100 352 | 0 191
117 100 1070 | 0 232
117 100 283 | 0 247
109 99 677 | 0 247
117 100 1762 | 0 212
117 100 14 | 65 69
117 100 1018 | 0 399
117 100 324 | 0 312
117 100 1350 | 91 91
117 100 5 | 0 440
117 100 2456 | 105 96
117 100 421 | 0 121
117 100 416 | 103 95
117 100 1349 | 71 77
117 100 1105 | 0 319
117 100 230 | 0 143
117 100 874 | 0 185
117 100 21 | 99 97
117 100 361 | 0 280
117 100 347 | 0 147
117 100 759 | 90 92
117 100 1186 | 79 74
