109 99 892 | 99 97
109 99 62 | 97 95
117 100 192 | 89 98
117 100 1351 | 89 98
117 100 639 | 117 100
106 100 327 | 84 88
117 100 1068 | 117 100
117 100 1537 | 117 100
117 100 164 | 98 93
109 99 1011 | 91 91
117 100 1506 | 92 95
117 100 122 | 117 100
117 100 1375 | 91 91
109 99 8 | 78 98
117 100 1235 | 105 96
117 100 464 | 109 99
117 100 600 | 98 93
117 100 366 | 83 90
117 100 1616 | 106 100
117 100 170 | 117 100
117 100 2 | 117 100
117 100 681 | 89 98
117 100 342 | 89 98
117 100 258 | 92 95
117 100 1586 | 117 100
117 100 214 | 117 100
117 100 182 | 91 91
117 100 456 | 109 99
117 100 1069 | 85 95
117 100 501 | 85 100
117 100 1587 | 109 99
117 100 56 | 79 85
109 99 466 | 97 95
117 100 318 | 89 98
117 100 858 | 77 81
117 100 410 | 99 97
109 99 354 | 106 100
109 99 837 | 105 96
117 100 410 | 105 96
117 100 1529 | 103 95
117 100 354 | 91 91
117 100 2 | 117 100
117 100 920 | 78 98
117 100 130 | 77 81
117 100 90 | 97 95
117 100 245 | 85 95
117 100 1485 | 99 97
117 100 589 | 79 85
117 100 566 | 84 88
117 100 1391 | 77 86
109 99 614 | 83 90
117 100 485 | 91 91
117 100 156 | 97 95
117 100 258 | 80 91
117 100 726 | 105 96
117 100 838 | 98 93
117 100 40 | 105 96
117 100 1138 | 109 99
117 100 731 | 117 100
117 100 522 | 73 88
117 100 1315 | 98 93
117 100 582 | 97 95
117 100 524 | 98 93
117 100 2 | 99 97
117 100 120 | 84 88
117 100 16 | 109 99
117 100 468 | 78 98
117 100 1434 | 99 97
117 100 179 | 117 100
117 100 106 | 98 93
117 100 176 | 98 93
117 100 259 | 89 98
117 100 268 | 98 93
117 100 409 | 98 93
117 100 348 | 73 88
117 100 446 | 105 96
117 100 50 | 98 93
117 100 1416 | 99 97
117 100 796 | 85 100
117 100 592 | 77 81
117 100 514 | 91 91
117 100 1610 | 117 100
117 100 364 | 117 100
117 100 2 | 77 81
117 100 332 | 117 100
117 100 971 | 103 95
117 100 301 | 91 91
109 99 602 | 87 93
117 100 420 | 98 93
117 100 461 | 109 99
117 100 1000 | 105 96
109 99 1081 | 79 85
106 100 1167 | 78 98
117 100 616 | 109 99
117 100 688 | 91 91
117 100 1539 | 117 100
117 100 4 | 117 100
117 100 558 | 90 92
117 100 1339 | 98 93
117 100 250 | 97 95
117 100 1238 | 117 100
117 100 663 | 103 95
109 99 518 | 90 92
109 99 440 | 97 95
117 100 1435 | 117 100
117 100 719 | 83 90
